nom,prenom,telephone,service,fonction
BARJOT,Maxime,0111111111,Production,CADRES-SUP
PELCHAT,Alphonse,0102020411,Logistique,CADRES
DIONNE,Louise,0102020412,Logistique,EMPLOYE
LAUX,Virginie,0102020413,Méthodes,CADRES
DURANSEAU,Alain,0102020414,Méthodes,EMPLOYE
DUBEAU,Caroline,0102020415,Support,CADRES
LACHARITE,Caroline,0102020416,Support,EMPLOYE
PELCHAT,Alphonse,0102020417,Usine,CADRES
VERONNEAU,Benoit,0102020418,Usine,EMPLOYE
BAUDON,Lucas,0122222222,Recherche,CADRES-SUP
BIZIER,Clemence,0102020419,Assurance Qualité,CADRES
GOULET,Nathalie,0102020420,Assurance Qualité,EMPLOYE
SOUPLET,Roger,0102020421,Développement,CADRES
BERNIER,Aya,0102020422,Développement,EMPLOYE
CHESNAY,Thierry,0102020423,Prospective,CADRES
DESCHENES,Suzette,0102020424,Prospective,EMPLOYE
DOE,John,0133333333,Services,CADRES-SUP
LAUZIER,Daniel,0102020425,Comptabilité,CADRES
CHESNAY,Pierre,0102020426,Comptabilité,EMPLOYE
BOUCHER,Alain,0102020427,Direction,CADRES
BAROUD,Clemence,0102020428,Direction,EMPLOYE
BAZIN,Emilie,0102020429,Informatique,CADRES
LAGRANGE,Clarice,0102020430,Informatique,EMPLOYE
BRASSEUR,Caroline,0102020431,Paye,CADRES
PAQUET,Amandine,0102020432,Paye,EMPLOYE
CHASSE,Audrey,0102020433,Ressources Humaines,CADRES
BOURGEAU,Carine,0102020434,Ressources Humaines,EMPLOYE
LOPES,Dimitri,0144444444,Ventes,CADRES-SUP
CHARRON,Eliot,0102020435,Avant-Vente,CADRES
BARJAVEL,Arnaud,0102020436,Avant-Vente,EMPLOYE
HUGUES,Edith,0102020437,Commercial,CADRES
GABRIAUX,Constance,0102020438,Commercial,EMPLOYE
PROVENCHER,Valentin,0102020439,Consulting,CADRES
POISSON,Roland,0102020440,COnsulting,EMPLOYE

